Prospective Mol ID,Prospective SMILES,Nearest Active SMILES,Nearest Inactive SMILES,Nearest Active Tanimoto Distance,Nearest Inactive Tanimoto Distance,Initial Hit,Scrutinized Hit,PriA-SSB Dose response: IC50 (uM),PriA-SSB Dose response: IC50 CI (Lower) (uM),PriA-SSB Dose response: IC50 CI (Upper) (uM),AS FRH Filter
Z3238971184,C1=C(c2cccc3cccnc23)CCNC1,c1cnc2c(c1)ccc1cccnc12,C1=C(c2ccccc2)CCNC1,0.55,0.57,0,0,> 66.0,,,False
Z1443864314,O=C(O)c1cc(C(=O)N2CCS(=O)(=O)CC2)ccn1,O=C(O)c1ccnc(C(=O)O)c1,O=C(O)c1cc(N2CCCC2)ccn1,0.43,0.54,0,0,> 66.0,,,False
PV-001915624917,c1cc(CSc2cccc3cccnc23)cc(CN2CCOCC2)c1,Cc1cccc(CSc2cccc3cccnc23)c1,Clc1cccc(CSc2cccc3cccnc23)c1,0.42,0.42,0,0,> 66.0,,,False
Z1255380138,Nc1ncc(-c2ccccn2)cn1,Nc1nc(N)nc(-c2ccccn2)n1,c1ccc(-c2cncnc2)nc1,0.47,0.39,0,0,> 66.0,,,False
Z114886052,O=c1[nH]ncc(NN=Cc2ccccn2)c1Cl,O=c1cn[nH]c(NN=Cc2ccccn2)n1,O=c1[nH]ncc(NN=Cc2ccccc2)c1Cl,0.41,0.31,0,0,> 66.0,,,False
Z314947084,O=[N+]([O-])c1cc(Cl)cc(C=Nc2ccc(Cl)c3ncccc23)c1O,O=[N+]([O-])c1cc(Cl)c2cccnc2c1O,O=[N+]([O-])c1cc(Cl)cc(C=NNc2ccccn2)c1O,0.42,0.45,0,0,> 66.0,,,False
Z3225506284,Cc1cc(-c2ccccn2)[nH]n1,Brc1n[nH]c(-c2ccccn2)n1,c1ccc(-c2ccccn2)nc1,0.54,0.5,0,0,> 66.0,,,False
Z3652859018,Clc1ccc(CN2CCOCCOCC2)c2ncccc12,Oc1c(Cl)cc(CN2CCOCC2)c2cccnc12,O=C(Oc1c(CN2CCOCC2)cc(Cl)c2cccnc12)c1ccccc1,0.35,0.43,0,0,> 66.0,,,False
Z734817070,Clc1cccnc1NN=Cc1ccccn1,Nc1c(Cl)ncnc1NN=Cc1ccccn1,Clc1cncc(Cl)c1N/N=C/c1ccccn1,0.4,0.38,1,0,> 66.0,,,False
Z241926076,c1cnc2c(Cn3ccnc3)cccc2c1,Oc1ccc(Cn2ccnc2)c2cccnc12,c1ccc2c(Cn3ccnc3)cccc2c1,0.4,0.35,0,0,> 66.0,,,False
Z29467739,O=C(Cc1ccc(S(=O)(=O)N2CCOCC2)s1)Nc1nc(-c2ccccn2)cs1,O=C(Nc1nc(-c2ccccn2)cs1)c1ccc(S(=O)(=O)N2CCOCC2)cc1,CC(C)(C)c1csc(NC(=O)Cc2ccc(S(=O)(=O)N3CCOCC3)s2)n1,0.36,0.31,1,0,> 66.0,,,True
Z666485712,Fc1cccc2nc(-c3ccccn3)[nH]c12,c1ccc(-c2nnc(-c3ccccn3)[nH]2)nc1,c1ccc(-c2nc3ccccc3[nH]2)nc1,0.53,0.41,0,0,> 66.0,,,True
Z1407899729,O=c1[nH]c(NN=Cc2ccccn2)nc2ccccc12,Cc1cc(=O)nc(NN=Cc2ccccn2)[nH]1,C(=NNc1nc2ccccc2[nH]1)c1ccccn1,0.4,0.31,0,0,> 66.0,,,False
Z3075781550,O=C(Nc1nc(-c2ccccn2)cs1)C1(C2CCCCO2)CCCO1,O=C(Nc1nc(-c2ccccn2)cs1)NC1CCCC1,O=C(Nc1nc(-c2ccccn2)cs1)C1CCCC1,0.45,0.43,0,0,> 66.0,,,True
Z3484513235,c1cc2c(c(-c3cccc4cccnc34)c1)CNC2,c1cnc2c(c1)ccc1cccnc12,Clc1cccc2cccnc12,0.55,0.57,0,0,> 66.0,,,False
Z3557781825,CN(C)CCN(C)c1ccc2ccc3cccnc3c2n1,c1cnc2c(c1)ccc1cccnc12,Clc1ccc2ccc3cccnc3c2n1,0.5,0.55,0,0,> 66.0,,,False
Z3295148399,c1ccc(-c2csc(NC3COC4(CCC4)C3)n2)nc1,O=C(Nc1nc(-c2ccccn2)cs1)NC1CCCC1,O=C(Nc1nc(-c2ccccn2)cs1)C1CCCC1,0.51,0.52,1,0,> 66.0,,,True
Z3634004206,COC(C)COc1ccc2ccc3cccnc3c2n1,c1cnc2c(c1)ccc1cccnc12,Clc1ccc2ccc3cccnc3c2n1,0.53,0.57,0,0,> 100,,,False
Z71174619,Cc1ccc(-n2nc(C)cc2NC(=O)CSc2cccc3cccnc23)cc1,Cc1ccc(NC(=O)CSc2cccc3cccnc23)c(C)c1,Cc1cc(C)c(NC(=O)CSc2cccc3cccnc23)c(C)c1,0.37,0.35,0,0,> 100,,,False
Z2739840324,CC(C)c1ncc(-c2cccc3cccnc23)n1C,c1cnc2c(c1)ccc1cccnc12,CC(Br)c1cccc2cccnc12,0.58,0.58,0,0,> 100,,,False
Z3638513333,CC1(C)CC(CSc2cccc3cccnc23)=NO1,Cc1cccc(CSc2cccc3cccnc23)c1,c1ccc(CSc2cccc3cccnc23)cc1,0.47,0.48,0,0,> 100,,,False
PV-001918010086,CCCN1CCCc2cc(C(C)C)ccc21,CCCN1CCCc2ccccc21,CCCN1CCCc2cc(CN)ccc21,0.41,0.37,0,0,> 100,,,False
Z3242476057,c1ccc(-c2n[nH]c3ccccc23)nc1,Clc1nc(-c2ccccn2)n[nH]1,c1ccc(-c2nc(-c3ccccn3)c(-c3ccccn3)nc2-c2ccccn2)nc1,0.56,0.48,0,0,< 4.17E-03,,,True
